Province.State,Country.Region,Date,Confirmed,Deaths,Recovered,County.Other
Anhui,Mainland China,2020-01-22,1,0,0,0
Beijing,Mainland China,2020-01-22,14,0,0,0
Chongqing,Mainland China,2020-01-22,6,0,0,0
Fujian,Mainland China,2020-01-22,1,0,0,0
Gansu,Mainland China,2020-01-22,0,0,0,0
Guangdong,Mainland China,2020-01-22,26,0,0,0
Guangxi,Mainland China,2020-01-22,2,0,0,0
Guizhou,Mainland China,2020-01-22,1,0,0,0
Hainan,Mainland China,2020-01-22,4,0,0,0
Hebei,Mainland China,2020-01-22,1,0,0,0
Heilongjiang,Mainland China,2020-01-22,0,0,0,0
Henan,Mainland China,2020-01-22,5,0,0,0
Hong Kong,Hong Kong,2020-01-22,0,0,0,0
Hubei,Mainland China,2020-01-22,444,17,28,0
Hunan,Mainland China,2020-01-22,4,0,0,0
Inner Mongolia,Mainland China,2020-01-22,0,0,0,0
Jiangsu,Mainland China,2020-01-22,1,0,0,0
Jiangxi,Mainland China,2020-01-22,2,0,0,0
Jilin,Mainland China,2020-01-22,0,0,0,0
Liaoning,Mainland China,2020-01-22,2,0,0,0
Macau,Macau,2020-01-22,1,0,0,0
Ningxia,Mainland China,2020-01-22,1,0,0,0
Qinghai,Mainland China,2020-01-22,0,0,0,0
Shaanxi,Mainland China,2020-01-22,0,0,0,0
Shandong,Mainland China,2020-01-22,2,0,0,0
Shanghai,Mainland China,2020-01-22,9,0,0,0
Shanxi,Mainland China,2020-01-22,1,0,0,0
Sichuan,Mainland China,2020-01-22,5,0,0,0
Taiwan,Taiwan,2020-01-22,1,0,0,0
Tianjin,Mainland China,2020-01-22,4,0,0,0
Tibet,Mainland China,2020-01-22,0,0,0,0
Washington,US,2020-01-22,1,0,0,0
Xinjiang,Mainland China,2020-01-22,0,0,0,0
Yunnan,Mainland China,2020-01-22,1,0,0,0
Zhejiang,Mainland China,2020-01-22,10,0,0,0
,Japan,2020-01-22,2,0,0,0
,Thailand,2020-01-22,2,0,0,0
