OBJECTID,Infogroup ID,Company/Business Name,Street,City,State,State Name,ZIP Code,ZIP plus 4 extension,NAICS Code,SIC Code,Sales Volume/Assets ($000),Business Status Code,Ultimate Parent Number,Public Company Indicator,Employee Count,Franchise Code,Industry Specific Code,Square Footage Code,Locator Name,Match Status,Match Score,Source,Record type
1,134749126,BARN OWL FARM SUPPLY,E BRAINERD RD,APISON,TN,Tennessee,37302,7634,42491012,519112,3378,,000000000,,2,,,3,PointAddress,M,100,INFOGROUP,0
2,134899640,CHURCH OF JESUS CHRIST OF LDS,OOLTEWAH RINGGOLD RD,OOLTEWAH,TN,Tennessee,37363,,81311008,866107,0,2,366738177,,1,V,,2,PointAddress,T,100,INFOGROUP,0
3,134928472,CREEK'S CABINET SHOP,E BRAINERD RD,CHATTANOOGA,TN,Tennessee,37421,3405,23835002,175103,1231,,000000000,,10,,,2,PointAddress,M,100,INFOGROUP,0
4,134929561,UNIVERSAL SERVICE INC,GIBSON POND RD,CHATTANOOGA,TN,Tennessee,37421,5375,54171416,873111,0,,000000000,,10,,,6,PointAddress,M,100,INFOGROUP,0
5,134934744,WESTVIEW ELEMENTARY SCHOOL,E BRAINERD RD,CHATTANOOGA,TN,Tennessee,37421,4804,61111007,821103,0,,000000000,,65,EKN,B,8,PointAddress,M,100,INFOGROUP,0
6,203897608,PARTY CITY,HAMILTON PARKWAY BLVD,CHATTANOOGA,TN,Tennessee,37421,,45322026,594716,593,2,483817474,,12,P,,5,Postal,M,100,INFOGROUP,0
7,214889008,BRAINERD INSURANCE BROKERAGE,LESLIE SANDIDGE DR,OOLTEWAH,TN,Tennessee,37363,9349,52421001,641112,1778,,000000000,,12,,,4,PointAddress,M,100,INFOGROUP,0
8,228745568,CREATIVE CABINETRY & FURNITURE,,CHATTANOOGA,TN,Tennessee,37421,,33711002,571236,887,,000000000,,4,,,2,Postal,M,100,INFOGROUP,1
9,228746582,RIVERPARK CHIROPRACTIC,ASHTON VIEW DR,CHATTANOOGA,TN,Tennessee,37421,4708,62131002,804101,110,,000000000,,1,,,1,PointAddress,M,100,INFOGROUP,0
10,228752796,PAM'S BOOKKEEPING & TAX SVC,STANDIFER HILLS DR,CHATTANOOGA,TN,Tennessee,37421,4911,54121903,872102,481,,000000000,,4,,,1,PointAddress,M,100,INFOGROUP,0
11,229541412,AA FOREIGN & DOMESTIC CAR SVC,E BRAINERD RD,APISON,TN,Tennessee,37302,7634,81111104,753801,225,,000000000,,2,,,1,PointAddress,M,100,INFOGROUP,0
