"Place","Region","Confirmed","Deaths","Recovered","Active","Last Update"
"Mainland China","Mainland China","81,060","3,261","72,095","5,704","2020-03-22 18:00:00"
"Hubei","Mainland China","67,800","3,144","59,433","5,223","2020-03-22 18:00:00"
"Italy","Italy","59,138","5,476","7,024","46,638","2020-03-22 21:00:00"
"United States","United States","40,963","485","178","40,300","2020-03-23 17:00:00"
"Spain","Spain","33,089","2,182","3,355","27,552","2020-03-23 12:00:00"
"Germany","Germany","28,185","102","266","27,817","2020-03-23 13:00:00 * States Baden-Württemberg 5194; Bavaria 5353; Berlin 1071; Brandenburg 405; Bremen 173; Hamburg 887; Hesse 1398; Mecklenburg-Vorpommern 187; Lower Saxony 1830; North Rhine-Westphalia 8102; Rhineland-Palatinate 1318; Saarland 329; Saxony 869; Saxony-Anhalt 299; Schleswig-Holstein 457; Thuringia 313; Source: @iceweasel"
"Iran","Iran","23,049","1,812","8,376","12,861","2020-03-23 12:00:00"
"New York","United States","20,875","152","0","20,723","2020-03-23 17:00:00 * CTY: New York 10764; unknown 3982; Nassau 1900; Westchester 1873; Suffolk 1034; Rockland 455; Orange 247; Albany 123; Dutchess 82; Monroe 68; Erie 56; Onondaga 45; Saratoga 35; Schenectady 32; Putnam 31; Rensselaer 20; Ulster 18; Columbia 17; Tompkins 15; Sullivan 12; Niagara 9; Steuben 4; Clinton 4; Ontario 4; Oneida 4; Herkimer 3; Essex 3; Wayne 3; Broome 3; Montgomery 3; Chemung 2; Oswego 2; Hamilton 2; Livingston 2; Cortland 2; Greene 2; Chenango 2; Wyoming 2; Allegany 2; Jefferson 1; Schoharie 1; Warren 1; Genesee 1; Delaware 1; Fulton 1; Washington 1; Tioga 1"
"France","France","16,689","674","2,200","13,815","2020-03-23 14:00:00"
"South Korea","South Korea","8,961","111","3,166","5,684","2020-03-23 12:00:00"
"Switzerland","Switzerland","8,547","118","131","8,298","2020-03-23 14:00:00"
"United Kingdom","United Kingdom","5,911","336","140","5,435","2020-03-23 18:00:00"
"Netherlands","Netherlands","4,763","214","3","4,546","2020-03-23 16:00:00"
"Austria","Austria","4,306","21","9","4,276","2020-03-23 15:00:00"
"Belgium","Belgium","3,743","88","401","3,254","2020-03-23 15:00:00"
"New Jersey","United States","2,844","27","0","2,817","2020-03-23 17:00:00 * CTY: unknown 1151; Bergen 457; Essex 172; Monmouth 158; Middlesex 147; Hudson 126; Union 124; Morris 119; Ocean 102; Passaic 95; Somerset 51; Mercer 40; Burlington 26; Camden 22; Hunterdon 16; Sussex 12; Warren 9; Gloucester 8; Atlantic 5; Cape May 2; Salem 1; Cumberland 1"
"Norway","Norway","2,547","10","6","2,531","2020-03-23 15:00:00"
"Portugal","Portugal","2,060","23","14","2,023","2020-03-23 14:00:00"
"Sweden","Sweden","2,046","25","16","2,005","2020-03-23 15:00:00"
"Washington","United States","1,996","95","0","1,901","2020-03-23 17:00:00 * CTY: King 1040; Snohomish 480; unknown 159; Pierce 107; Skagit 33; Grant 23; Island 21; Spokane 20; Kitsap 18; Yakima 16; Whatcom 14; Thurston 11; Clark 10; Benton 7; Jefferson 6; Kittitas 4; Klickitat 4; Clallam 4; Cowlitz 3; Chelan 3; Franklin 3; Lewis 2; Whitman 1; San Juan 1; Mason 1; Walla Walla  1; Stevens 1; Columbia 1; Lincoln 1; Grays Harbor 1"
"California","United States","1,839","35","0","1,804","2020-03-23 17:00:00 * CTY: Los Angeles 409; Santa Clara 302; San Diego 199; San Francisco 131; San Mateo 117; Alameda 106; Orange 95; Contra Costa 61; Sacramento 53; Riverside 43; San Joaquin 41; Marin 38; Ventura 30; San Luis Obispo 27; Sonoma 27; Santa Barbara 18; San Bernardino 17; Santa Cruz 15; Solano 14; Tulare 12; Placer 12; Monterey 11; Stanislaus 8; Fresno 6; Yolo 6; Imperial 6; Kern 5; San Benito 5; Yuba 3; Madera 3; El Dorado 2; Butte 2; Napa 2; Humboldt 2; Siskiyou 2; Calaveras 2; Shasta 2; Nevada 1; Amador 1; Merced 1; Mendocino 1; Mono 1"
"Australia","Australia","1,682","7","119","1,556","2020-03-23 14:00:00"
