DATE,CASES_TOTAL,CASES_TOTAL_PERPOP,CASES_TOTAL_PER100K,CASES_TOTAL_1INX,CASES_NEW,CASES_NEW_LAST7DAYS,CASES_NEW_7DAYAVG,CASES_GROWTHRATE,CASES_GROWTHRATE_7DAYAVG,CASES_DT,CASES_EPI_TOTAL,CASES_EPI_PERCENT,CASES_ACTIVE,CASES_ACTIVE_CHANGE,QUARANTINED_TOTAL,RECOVERED_TOTAL,RECOVERED_NEW,DEATHS_TOTAL,DEATHS_TOTAL_PERPOP,DEATHS_TOTAL_PER100K,DEATHS_TOTAL_1INX,DEATHS_NEW,DEATHS_NEW_LAST7DAYS,DEATHS_NEW_7DAYAVG,DEATHS_GROWTHRATE,DEATHS_GROWTHRATE_7DAYAVG,DEATHS_DT,CFR
2020-03-13,1,0.00%,0.3,"1 in 364,286",1,1,NA,,,NA,NA,,,NA,NA,NA,NA,NA,,NA,,NA,NA,NA,,,NA,
2020-03-14,1,0.00%,0.3,"1 in 364,286",0,1,NA,0.00%,,NA,NA,,,NA,NA,NA,NA,NA,,NA,,NA,NA,NA,,,NA,
2020-03-15,1,0.00%,0.3,"1 in 364,286",0,1,NA,0.00%,,NA,NA,,,NA,NA,NA,NA,NA,,NA,,NA,NA,NA,,,NA,
2020-03-16,1,0.00%,0.3,"1 in 364,286",0,1,NA,0.00%,,NA,NA,,,NA,NA,NA,NA,NA,,NA,,NA,NA,NA,,,NA,
2020-03-17,1,0.00%,0.3,"1 in 364,286",0,1,NA,0.00%,,NA,NA,,,NA,NA,NA,NA,NA,,NA,,NA,NA,NA,,,NA,
2020-03-18,3,0.00%,0.8,"1 in 121,429",2,3,NA,200.00%,,NA,NA,,,NA,NA,NA,NA,NA,,NA,,NA,NA,NA,,,NA,
2020-03-19,5,0.00%,1.4,"1 in 72,857",2,5,0.7,66.67%,,NA,NA,,,NA,NA,NA,NA,NA,,NA,,NA,NA,NA,,,NA,
2020-03-20,8,0.00%,2.2,"1 in 45,536",3,7,1,60.00%,,2.3,NA,,,NA,NA,NA,NA,NA,,NA,,NA,NA,NA,,,NA,
2020-03-21,8,0.00%,2.2,"1 in 45,536",0,7,1,0.00%,,2.3,NA,,,NA,NA,NA,NA,NA,,NA,,NA,NA,NA,,,NA,
2020-03-22,8,0.00%,2.2,"1 in 45,536",0,7,1,0.00%,,2.3,NA,,,NA,NA,NA,NA,NA,,NA,,NA,NA,NA,,,NA,
