DATE,CATEGORY,CAT_DETAIL,CAT_CASES_TOTAL,CAT_CASES_TOTAL_PERCENT,CAT_CASES_TOTAL_PERPOP,CAT_CASES_TOTAL_PER10K,CAT_CASES_NEW,CAT_DEATHS_TOTAL,CAT_DEATHS_TOTAL_PERCENT,CAT_DEATHS_TOTAL_PERPOP,CAT_DEATHS_TOTAL_PER10K,CAT_DEATHS_NEW
2020-04-08,Ethnicity,Hispanic,4,4.12%,0.0187%,1.87,NA,NA,,,NA,NA
2020-04-08,Ethnicity,Non-Hispanic,92,94.85%,0.0268%,2.68,NA,NA,,,NA,NA
2020-04-08,Ethnicity,Pending,1,1.03%,,NA,NA,NA,,,NA,NA
2020-04-09,Ethnicity,Hispanic,4,4.08%,0.0187%,1.87,0,NA,,,NA,NA
2020-04-09,Ethnicity,Non-Hispanic,94,95.92%,0.0274%,2.74,2,NA,,,NA,NA
2020-04-09,Ethnicity,Pending,0,0.00%,,NA,-1,NA,,,NA,NA
2020-04-13,Ethnicity,Hispanic,4,3.74%,0.0187%,1.87,0,NA,,,NA,NA
2020-04-13,Ethnicity,Non-Hispanic,103,96.26%,0.0300%,3,9,NA,,,NA,NA
2020-04-13,Ethnicity,Pending,0,0.00%,,NA,0,NA,,,NA,NA
2020-04-14,Ethnicity,Hispanic,4,3.67%,0.0187%,1.87,0,NA,,,NA,NA
2020-04-14,Ethnicity,Non-Hispanic,105,96.33%,0.0306%,3.06,2,NA,,,NA,NA
2020-04-14,Ethnicity,Pending,0,0.00%,,NA,0,NA,,,NA,NA
2020-04-15,Ethnicity,Hispanic,4,3.64%,0.0187%,1.87,0,NA,,,NA,NA
2020-04-15,Ethnicity,Non-Hispanic,106,96.36%,0.0309%,3.09,1,NA,,,NA,NA
2020-04-15,Ethnicity,Pending,0,0.00%,,NA,0,NA,,,NA,NA
2020-04-16,Ethnicity,Hispanic,4,3.57%,0.0187%,1.87,0,NA,,,NA,NA
2020-04-16,Ethnicity,Non-Hispanic,107,95.54%,0.0312%,3.12,1,NA,,,NA,NA
2020-04-16,Ethnicity,Pending,1,0.89%,,NA,1,NA,,,NA,NA
2020-04-17,Ethnicity,Hispanic,4,3.48%,0.0187%,1.87,0,NA,,,NA,NA
2020-04-17,Ethnicity,Non-Hispanic,111,96.52%,0.0324%,3.24,4,NA,,,NA,NA
2020-04-17,Ethnicity,Pending,0,0.00%,,NA,-1,NA,,,NA,NA
2020-04-20,Ethnicity,Hispanic,4,3.31%,0.0187%,1.87,0,NA,,,NA,NA
2020-04-20,Ethnicity,Non-Hispanic,117,96.69%,0.0341%,3.41,6,NA,,,NA,NA
2020-04-20,Ethnicity,Pending,0,0.00%,,NA,0,NA,,,NA,NA
2020-04-21,Ethnicity,Hispanic,5,4.03%,0.0234%,2.34,1,NA,,,NA,NA
2020-04-21,Ethnicity,Non-Hispanic,119,95.97%,0.0347%,3.47,2,NA,,,NA,NA
2020-04-21,Ethnicity,Pending,0,0.00%,,NA,0,NA,,,NA,NA
2020-04-22,Ethnicity,Hispanic,6,4.69%,0.0281%,2.81,1,NA,,,NA,NA
