DATE,CATEGORY,CAT_DETAIL,CAT_CASES_TOTAL,CAT_CASES_TOTAL_PERCENT,CAT_CASES_TOTAL_PERPOP,CAT_CASES_TOTAL_PER10K,CAT_CASES_NEW,CAT_DEATHS_TOTAL,CAT_DEATHS_TOTAL_PERCENT,CAT_DEATHS_TOTAL_PERPOP,CAT_DEATHS_TOTAL_PER10K,CAT_DEATHS_NEW
2020-03-30,Race,White,31,79.49%,0.0113%,1.13,NA,NA,,,NA,NA
2020-03-30,Race,Black,7,17.95%,0.0103%,1.03,NA,NA,,,NA,NA
2020-03-30,Race,Asian,1,2.56%,0.0131%,1.31,NA,NA,,,NA,NA
2020-03-30,Race,Other,,,,NA,NA,NA,,,NA,NA
2020-03-30,Race,Pending,0,0.00%,,NA,NA,NA,,,NA,NA
2020-03-31,Race,White,34,68.00%,0.0124%,1.24,3,NA,,,NA,NA
2020-03-31,Race,Black,7,14.00%,0.0103%,1.03,0,NA,,,NA,NA
2020-03-31,Race,Asian,1,2.00%,0.0131%,1.31,0,NA,,,NA,NA
2020-03-31,Race,Other,,,,NA,NA,NA,,,NA,NA
2020-03-31,Race,Pending,8,16.00%,,NA,8,NA,,,NA,NA
2020-04-01,Race,White,42,82.35%,0.0153%,1.53,8,NA,,,NA,NA
2020-04-01,Race,Black,8,15.69%,0.0118%,1.18,1,NA,,,NA,NA
2020-04-01,Race,Asian,1,1.96%,0.0131%,1.31,0,NA,,,NA,NA
2020-04-01,Race,Other,,,,NA,NA,NA,,,NA,NA
2020-04-01,Race,Pending,0,0.00%,,NA,-8,NA,,,NA,NA
2020-04-03,Race,White,54,79.41%,0.0197%,1.97,12,NA,,,NA,NA
2020-04-03,Race,Black,12,17.65%,0.0177%,1.77,4,NA,,,NA,NA
2020-04-03,Race,Asian,2,2.94%,0.0262%,2.62,1,NA,,,NA,NA
2020-04-03,Race,Other,,,,NA,NA,NA,,,NA,NA
2020-04-03,Race,Pending,0,0.00%,,NA,0,NA,,,NA,NA
2020-04-06,Race,White,65,76.47%,0.0237%,2.37,11,NA,,,NA,NA
2020-04-06,Race,Black,15,17.65%,0.0221%,2.21,3,NA,,,NA,NA
2020-04-06,Race,Asian,2,2.35%,0.0262%,2.62,0,NA,,,NA,NA
2020-04-06,Race,Other,,,,NA,NA,NA,,,NA,NA
2020-04-06,Race,Pending,3,3.53%,,NA,3,NA,,,NA,NA
2020-04-07,Race,White,73,77.66%,0.0266%,2.66,8,NA,,,NA,NA
2020-04-07,Race,Black,18,19.15%,0.0265%,2.65,3,NA,,,NA,NA
2020-04-07,Race,Asian,2,2.13%,0.0262%,2.62,0,NA,,,NA,NA
2020-04-07,Race,Other,,,,NA,NA,NA,,,NA,NA
2020-04-07,Race,Pending,1,1.06%,,NA,-2,NA,,,NA,NA
2020-04-08,Race,White,74,76.29%,0.0269%,2.69,1,NA,,,NA,NA
2020-04-08,Race,Black,18,18.56%,0.0265%,2.65,0,NA,,,NA,NA
2020-04-08,Race,Asian,3,3.09%,0.0393%,3.93,1,NA,,,NA,NA
2020-04-08,Race,Other,1,1.03%,0.0071%,0.71,NA,NA,,,NA,NA
2020-04-08,Race,Pending,1,1.03%,,NA,0,NA,,,NA,NA
2020-04-09,Race,White,74,75.51%,0.0269%,2.69,0,NA,,,NA,NA
2020-04-09,Race,Black,19,19.39%,0.0280%,2.8,1,NA,,,NA,NA
2020-04-09,Race,Asian,4,4.08%,0.0524%,5.24,1,NA,,,NA,NA
2020-04-09,Race,Other,1,1.02%,0.0071%,0.71,0,NA,,,NA,NA
2020-04-09,Race,Pending,0,0.00%,,NA,-1,NA,,,NA,NA
2020-04-13,Race,White,79,73.83%,0.0288%,2.88,5,NA,,,NA,NA
2020-04-13,Race,Black,23,21.50%,0.0338%,3.38,4,NA,,,NA,NA
2020-04-13,Race,Asian,4,3.74%,0.0524%,5.24,0,NA,,,NA,NA
2020-04-13,Race,Other,1,0.93%,0.0071%,0.71,0,NA,,,NA,NA
2020-04-13,Race,Pending,0,0.00%,,NA,0,NA,,,NA,NA
2020-04-14,Race,White,81,74.31%,0.0295%,2.95,2,NA,,,NA,NA
2020-04-14,Race,Black,23,21.10%,0.0338%,3.38,0,NA,,,NA,NA
2020-04-14,Race,Asian,4,3.67%,0.0524%,5.24,0,NA,,,NA,NA
2020-04-14,Race,Other,1,0.92%,0.0071%,0.71,0,NA,,,NA,NA
2020-04-14,Race,Pending,0,0.00%,,NA,0,NA,,,NA,NA
2020-04-15,Race,White,82,74.55%,0.0299%,2.99,1,NA,,,NA,NA
2020-04-15,Race,Black,23,20.91%,0.0338%,3.38,0,NA,,,NA,NA
2020-04-15,Race,Asian,4,3.64%,0.0524%,5.24,0,NA,,,NA,NA
2020-04-15,Race,Other,1,0.91%,0.0071%,0.71,0,NA,,,NA,NA
2020-04-15,Race,Pending,0,0.00%,,NA,0,NA,,,NA,NA
2020-04-16,Race,White,83,74.11%,0.0302%,3.02,1,NA,,,NA,NA
2020-04-16,Race,Black,23,20.54%,0.0338%,3.38,0,NA,,,NA,NA
2020-04-16,Race,Asian,4,3.57%,0.0524%,5.24,0,NA,,,NA,NA
2020-04-16,Race,Other,1,0.89%,0.0071%,0.71,0,NA,,,NA,NA
