DATE,CATEGORY,CAT_DETAIL,CAT_CASES_TOTAL,CAT_CASES_TOTAL_PERCENT,CAT_CASES_TOTAL_PERPOP,CAT_CASES_TOTAL_PER10K,CAT_CASES_NEW,CAT_DEATHS_TOTAL,CAT_DEATHS_TOTAL_PERCENT,CAT_DEATHS_TOTAL_PERPOP,CAT_DEATHS_TOTAL_PER10K,CAT_DEATHS_NEW
2020-03-30,Sex,Male,25,64.10%,0.0143%,1.43,NA,NA,,,NA,NA
2020-03-30,Sex,Female,14,35.90%,0.0074%,0.74,NA,NA,,,NA,NA
2020-03-30,Sex,Pending,0,0.00%,,NA,NA,NA,,,NA,NA
2020-03-31,Sex,Male,26,52.00%,0.0148%,1.48,1,NA,,,NA,NA
2020-03-31,Sex,Female,16,32.00%,0.0085%,0.85,2,NA,,,NA,NA
2020-03-31,Sex,Pending,8,16.00%,,NA,8,NA,,,NA,NA
2020-04-01,Sex,Male,32,62.75%,0.0182%,1.82,6,NA,,,NA,NA
2020-04-01,Sex,Female,19,37.25%,0.0101%,1.01,3,NA,,,NA,NA
2020-04-01,Sex,Pending,0,0.00%,,NA,-8,NA,,,NA,NA
2020-04-03,Sex,Male,42,61.76%,0.0239%,2.39,10,NA,,,NA,NA
2020-04-03,Sex,Female,26,38.24%,0.0138%,1.38,7,NA,,,NA,NA
2020-04-03,Sex,Pending,0,0.00%,,NA,0,NA,,,NA,NA
2020-04-06,Sex,Male,49,57.65%,0.0279%,2.79,7,NA,,,NA,NA
2020-04-06,Sex,Female,35,41.18%,0.0185%,1.85,9,NA,,,NA,NA
2020-04-06,Sex,Pending,1,1.18%,,NA,1,NA,,,NA,NA
2020-04-07,Sex,Male,53,56.38%,0.0302%,3.02,4,NA,,,NA,NA
2020-04-07,Sex,Female,41,43.62%,0.0217%,2.17,6,NA,,,NA,NA
2020-04-07,Sex,Pending,0,0.00%,,NA,-1,NA,,,NA,NA
2020-04-08,Sex,Male,55,56.70%,0.0314%,3.14,2,NA,,,NA,NA
2020-04-08,Sex,Female,42,43.30%,0.0222%,2.22,1,NA,,,NA,NA
2020-04-08,Sex,Pending,0,0.00%,,NA,0,NA,,,NA,NA
2020-04-09,Sex,Male,56,57.14%,0.0319%,3.19,1,NA,,,NA,NA
2020-04-09,Sex,Female,42,42.86%,0.0222%,2.22,0,NA,,,NA,NA
2020-04-09,Sex,Pending,0,0.00%,,NA,0,NA,,,NA,NA
2020-04-13,Sex,Male,60,56.07%,0.0342%,3.42,4,NA,,,NA,NA
