DATE,CATEGORY,CAT_DETAIL,CAT_CASES_TOTAL,CAT_CASES_TOTAL_PERCENT,CAT_CASES_TOTAL_PER1K,CAT_CASES_NEW,CAT_CASES_NEW_PERCENT
2020-05-20,ZIP Code,37302,6,1.34%,1.32,NA,
2020-05-20,ZIP Code,37308,1,0.22%,0.58,NA,
2020-05-20,ZIP Code,37311,0,0.00%,0,NA,
2020-05-20,ZIP Code,37336,0,0.00%,0,NA,
2020-05-20,ZIP Code,37338,0,0.00%,0,NA,
2020-05-20,ZIP Code,37341,7,1.57%,0.51,NA,
2020-05-20,ZIP Code,37343,24,5.37%,0.55,NA,
2020-05-20,ZIP Code,37350,3,0.67%,1.52,NA,
2020-05-20,ZIP Code,37351,0,0.00%,0,NA,
2020-05-20,ZIP Code,37353,0,0.00%,0,NA,
2020-05-20,ZIP Code,37363,11,2.46%,0.26,NA,
2020-05-20,ZIP Code,37373,0,0.00%,0,NA,
2020-05-20,ZIP Code,37377,6,1.34%,0.37,NA,
2020-05-20,ZIP Code,37379,12,2.68%,0.43,NA,
2020-05-20,ZIP Code,37402,3,0.67%,0.65,NA,
2020-05-20,ZIP Code,37403,0,0.00%,0,NA,
2020-05-20,ZIP Code,37404,36,8.05%,2.49,NA,
2020-05-20,ZIP Code,37405,22,4.92%,1.27,NA,
2020-05-20,ZIP Code,37406,3,0.67%,0.2,NA,
2020-05-20,ZIP Code,37407,107,23.94%,11.31,NA,
2020-05-20,ZIP Code,37408,11,2.46%,5.3,NA,
2020-05-20,ZIP Code,37409,3,0.67%,0.97,NA,
2020-05-20,ZIP Code,37410,2,0.45%,0.44,NA,
2020-05-20,ZIP Code,37411,17,3.80%,0.92,NA,
2020-05-20,ZIP Code,37412,36,8.05%,1.62,NA,
2020-05-20,ZIP Code,37415,15,3.36%,0.64,NA,
2020-05-20,ZIP Code,37416,18,4.03%,1.17,NA,
2020-05-20,ZIP Code,37419,0,0.00%,0,NA,
2020-05-20,ZIP Code,37421,48,10.74%,0.91,NA,
2020-05-20,ZIP Code,Pending,56,12.53%,NA,NA,
2020-05-21,ZIP Code,37302,6,1.51%,1.32,0,0.00%
2020-05-21,ZIP Code,37308,1,0.25%,0.58,0,0.00%
2020-05-21,ZIP Code,37311,0,0.00%,0,0,0.00%
2020-05-21,ZIP Code,37336,0,0.00%,0,0,0.00%
2020-05-21,ZIP Code,37338,0,0.00%,0,0,0.00%
2020-05-21,ZIP Code,37341,7,1.76%,0.51,0,0.00%
2020-05-21,ZIP Code,37343,25,6.28%,0.57,1,2.50%
2020-05-21,ZIP Code,37350,3,0.75%,1.52,0,0.00%
2020-05-21,ZIP Code,37351,0,0.00%,0,0,0.00%
