County.Name,Positive,Negative
Anderson,10,129
Bedford,2,74
Benton,4,32
Bledsoe,2,8
Blount,25,124
Bradley,10,109
Campbell,4,54
Cannon,3,47
Carroll,5,79
Carter,1,52
Cheatham,10,155
Chester,3,43
Claiborne,2,24
Clay,0,22
Cocke,1,40
Coffee,1,120
Crockett,0,17
Cumberland,11,241
Davidson,391,"3,885"
DeKalb,4,48
Decatur,0,30
Dickson,17,124
Dyer,3,52
Fayette,12,120
Fentress,1,44
Franklin,5,68
Gibson,6,90
Giles,3,70
Grainger,0,36
Greene,12,61
Grundy,4,22
Hamblen,2,65
Hamilton,48,519
Hancock,0,4
Hardeman,1,35
Hardin,1,84
Hawkins,4,50
Haywood,2,27
Henderson,0,68
Henry,1,59
Hickman,0,53
Houston,1,70
Humphreys,2,31
Jackson,0,25
Jefferson,6,69
Johnson,2,5
Knox,66,637
Lake,0,10
Lauderdale,0,28
Lawrence,2,97
Lewis,2,16
Lincoln,1,45
Loudon,8,82
Macon,4,57
Madison,5,131
Marion,5,35
Marshall,1,99
Maury,15,374
McMinn,3,109
McNairy,1,47
Meigs,1,24
Monroe,5,89
Montgomery,19,380
Moore,0,14
Morgan,1,23
Obion,1,59
Overton,2,61
Perry,2,17
Pickett,0,7
Polk,0,17
Putnam,24,207
Rhea,1,56
Roane,2,86
Robertson,28,268
Rutherford,68,817
Scott,2,38
Sequatchie,1,16
Sevier,8,168
Shelby,428,"1,943"
Smith,2,69
Stewart,0,43
Sullivan,13,134
Sumner,184,692
Tipton,21,142
Trousdale,4,22
Unicoi,1,21
Union,1,20
Van Buren,0,16
Warren,1,71
Washington,14,229
Wayne,1,17
Weakley,1,55
White,1,59
Williamson,131,"1,097"
Wilson,39,477
Non-Tennessee Resident,190,"3,847"
Unknown,307,"4,869"
Total,"2,239","25,121"
