"","COUNTY.NAME","UnwelPct","pct65pls","Staffed","Beds","ICUBeds","F_Count","F_Staffed","F_Beds","F_ICUBeds","Negative","Total","PercentPositive","AREA_SQMI","E_TOTPOP","RPL_THEME1","RPL_THEME2","RPL_THEME3","RPL_THEME4","RPL_THEMES","Confirmed","Deaths","Recovered","Active","POPDEN","CASEDEN","CASEBYPOP"
"1","Anderson",19.097631269,19.794904074,204,301,25,1,204,301,25,129,139,0.0719424460431655,337.2031748,75775,0.2128,0.6277,0.6596,0.6489,0.4043,10,0,0,0,224.716152346262,0.044500583939294,0.000131969646981194
"2","Bedford",21.541615975,15.090300725,44,60,8,1,44,60,8,74,76,0.0263157894736842,473.6389586,47558,0.3511,0.6915,0.9681,0.5319,0.6809,2,0,0,0,100.409814557007,0.0199183716136086,4.20539131166155e-05
"3","Benton",21.204563245,23.714500188,25,25,0,1,25,25,0,32,36,0.111111111111111,394.3060389,16112,0.8085,0.7766,0.2553,0.6277,0.7766,4,0,0,0,40.8616617816654,0.0978912708291956,0.000248262164846077
"4","Bledsoe",22.026180687,18.108310118,25,25,0,1,25,25,0,8,10,0.2,406.4247857,14602,0.8723,0.1809,0.8085,0.9681,0.9574,2,0,0,0,35.927926922199,0.055667002561293,0.00013696753869333
"5","Blount",16.732364908,19.686136274,193,304,8,1,193,304,8,124,149,0.167785234899329,558.8166582,128443,0.0426,0.0426,0.5426,0.1702,0.0745,25,0,0,0,229.848194600581,0.108767441238526,0.000194638867046083
"6","Bradley",20.964465924,16.805608185,183,251,27,1,183,251,27,109,119,0.0840336134453782,328.7616622,104557,0.3298,0.3936,0.8404,0.883,0.5638,10,0,0,0,318.032824448957,0.0314432952552196,9.56416117524413e-05
"7","Campbell",21.991083603,20.356638418,81,120,10,2,81,120,10,54,58,0.0689655172413793,480.162536,39687,0.8404,0.9255,0.0213,0.6596,0.766,4,0,0,0,82.6532622278553,0.0483949440370902,0.00010078867135334
"8","Cannon",19.170215023,18.08525605,30,60,0,1,30,60,0,47,50,0.06,265.6352532,13976,0.2766,0.1489,0.1702,0.3085,0.1064,3,0,0,0,52.6134985158664,0.0570195878362908,0.000214653692043503
"9","Carroll",21.559772062,20.204594401,42,70,0,1,42,70,0,79,84,0.0595238095238095,597.6573175,28018,0.617,0.8298,0.4043,0.9149,0.8191,5,0,0,0,46.8797071157754,0.106655956438718,0.000178456706403027
"10","Carter",21.384703285,21.351437473,109,121,8,1,109,121,8,52,53,0.0188679245283019,341.2581693,56391,0.6489,0.6489,0.1489,0.7447,0.5319,1,0,0,0,165.244395806468,0.00605164244826302,1.77333262400028e-05
"11","Cheatham",16.696837151,14.421026531,12,12,0,1,12,12,0,155,165,0.0606060606060606,302.4692655,39929,0.1277,0.1596,0.383,0.1064,0.0532,10,0,0,0,132.010106659911,0.0757517757770042,0.000250444539056826
"12","Chester",19.685921646,17.080436941,0,0,0,0,0,0,0,43,46,0.0652173913043478,285.7361172,17150,0.6596,0.4255,0.5106,0.3298,0.5213,3,0,0,0,60.0204138281753,0.0499829942623907,0.000174927113702624
"13","Claiborne",20.681634443,19.541902623,33,85,5,1,33,85,5,24,26,0.0769230769230769,434.5999545,31613,0.9043,0.266,0.3511,0.7766,0.7234,2,0,0,0,72.7404586049031,0.0274950149938317,6.32651124537374e-05
"14","Clay",26.06472731,24.081526678,0,0,0,0,0,0,0,22,22,0,236.5362412,7686,0.734,0.5213,0.0532,0.7553,0.4894,0,0,0,0,32.4939635508168,0,0
"15","Cocke",23.114668136,20.739115761,32,74,5,1,32,74,5,40,41,0.024390243902439,435.8253248,35336,0.9787,0.9787,0.2021,0.117,0.8085,1,0,0,0,81.078354077326,0.0123337481548562,2.82997509621915e-05
"16","Coffee",19.990281276,17.232983247,123,160,13,2,123,160,13,120,121,0.00826446280991736,428.9645317,54531,0.1809,0.5532,0.5745,0.2766,0.2447,1,0,0,0,127.122398170991,0.00786643435293686,1.83381929544663e-05
"17","Crockett",24.448614762,18.544876667,0,0,0,0,0,0,0,17,17,0,265.5480351,14499,0.5532,0.7553,0.9468,0.4787,0.8404,0,0,0,0,54.6002910341249,0,0
"18","Cumberland",18.712496434,30.200751549,73,189,12,1,73,189,12,241,252,0.0436507936507936,681.0259529,58634,0.3191,0.734,0.3936,0.2447,0.2872,11,0,0,0,86.0965720180265,0.127763507212539,0.000187604461575195
"19","Davidson",16.870897229,11.932706733,2924,4082,359,10,2714,3872,359,3885,4426,0.0914405986903648,503.4896212,684017,0.0745,0.0638,1,0.9787,0.4468,541,3,0,0,1358.55233394829,0.398218004916837,0.000790916015245235
"20","Decatur",19.876965337,22.959748107,40,40,0,1,40,40,0,30,30,0,333.8774504,11683,0.6064,0.5851,0.1915,0.1383,0.3298,0,0,0,0,34.9918809611229,0,0
"21","DeKalb",20.91942153,18.043522063,52,71,4,1,52,71,4,48,52,0.0769230769230769,304.3852677,19601,0.3723,0.1702,0.3723,0.2872,0.2234,4,0,0,0,64.3953636393421,0.0621162731901434,0.000204071220856079
"22","Dickson",18.626240815,15.68501315,91,157,6,1,91,157,6,124,141,0.120567375886525,489.8980427,51988,0.1915,0.1277,0.5851,0.5532,0.2128,17,0,0,0,106.120040230159,0.160195943792798,0.000326998538124182
"23","Dyer",21.647499234,17.323759443,109,225,14,1,109,225,14,52,55,0.0545454545454545,512.3354361,37576,0.4787,0.9043,0.7234,0.4468,0.7447,3,0,0,0,73.3425747124502,0.0409039362438791,7.9838194592293e-05
"24","Fayette",17.030377159,20.668897992,0,0,0,0,0,0,0,120,132,0.0909090909090909,704.7749197,39692,0.1702,0.0745,0.6383,0.0106,0.0426,12,0,0,0,56.3186896844962,0.213073139080923,0.000302327925022675
"25","Fentress",24.437234486,21.355315395,0,0,0,0,0,0,0,44,45,0.0222222222222222,498.6110861,17994,0.8617,0.8191,0.0213,0.4149,0.6383,1,0,0,0,36.0882469355909,0.0277098525119484,5.55740802489719e-05
"26","Franklin",17.834135448,19.746950927,131,152,10,1,131,152,10,68,73,0.0684931506849315,554.4872537,41512,0.117,0.2979,0.6915,0.0957,0.0851,5,0,0,0,74.8655622342938,0.0667863814920987,0.000120447099633841
"27","Gibson",21.893291898,17.708863595,47,70,3,1,47,70,3,90,96,0.0625,602.7448716,49175,0.4468,0.9574,0.6064,0.3723,0.6702,6,0,0,0,81.5850989647806,0.0735428414763599,0.000122013218098627
"28","Giles",20.440718061,19.727220163,81,95,6,1,81,95,6,70,73,0.0410958904109589,610.9310587,29167,0.3085,0.3723,0.6064,0.6915,0.3936,3,0,0,0,47.7418844313865,0.0628379050330853,0.000102855967360373
"29","Grainger",19.998620939,20.018147252,0,0,0,0,0,0,0,36,36,0,280.5864091,23013,0.6702,0.4894,0.4468,0.3191,0.5106,0,0,0,0,82.0175149388588,0,0
"30","Greene",20.591996909,21.318742007,189,240,17,2,189,240,17,61,73,0.164383561643836,622.1685246,68669,0.4149,0.6596,0.2447,0.4043,0.3511,12,0,0,0,110.370417796606,0.108724785495638,0.000174751343400952
"31","Grundy",22.822803474,20.821794776,0,0,0,0,0,0,0,22,26,0.153846153846154,360.4448294,13331,0.9894,0.9894,0.5,0.8936,0.9894,4,0,0,0,36.984855691205,0.10815237548571,0.000300052509189108
"32","Hamblen",22.838573878,18.250696205,116,167,20,1,116,167,20,65,67,0.0298507462686567,161.1888166,63740,0.7021,0.4787,0.9574,0.5745,0.8617,2,0,0,0,395.436863080736,0.00505769741449639,3.13774709758394e-05
"33","Hamilton",16.853689493,17.159781313,1465,1497,151,3,1285,1299,151,519,569,0.0846560846560847,542.3398685,357546,0.0745,0.0106,0.9362,0.7021,0.2021,50,3,0,0,659.265565315894,0.07584197117294,0.000139842146185386
"34","Hancock",23.78481877,20.681818182,10,10,0,1,10,10,0,4,4,0,222.3237505,6585,0.9574,0.7766,0.2021,0.6702,0.9043,0,0,0,0,29.6189677674586,0,0
"35","Hardeman",24.500896137,17.727040516,25,51,0,1,25,51,0,35,36,0.0277777777777778,667.7435657,25562,0.9681,0.4043,0.734,0.8298,0.9681,1,0,0,0,38.2811625795348,0.0261225086339097,3.91205695954933e-05
"36","Hardin",22.651539364,22.576027238,49,58,0,1,49,58,0,84,85,0.0117647058823529,577.3279148,25771,0.7553,0.6064,0.4574,0.6064,0.734,1,0,0,0,44.6384097137026,0.0224022317643863,3.88033060416748e-05
