location,date,allbed_mean,allbed_lower,allbed_upper,ICUbed_mean,ICUbed_lower,ICUbed_upper,InvVen_mean,InvVen_lower,InvVen_upper,deaths_mean,deaths_lower,deaths_upper,admis_mean,admis_lower,admis_upper,newICU_mean,newICU_lower,newICU_upper,totdea_mean,totdea_lower,totdea_upper,bedover_mean,bedover_lower,bedover_upper,icuover_mean,icuover_lower,icuover_upper
Tennessee,2/6/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tennessee,2/7/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tennessee,2/8/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tennessee,2/9/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tennessee,2/10/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tennessee,2/11/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tennessee,2/12/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tennessee,2/13/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tennessee,2/14/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tennessee,2/15/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tennessee,2/16/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tennessee,2/17/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tennessee,2/18/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tennessee,2/19/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tennessee,2/20/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tennessee,2/21/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tennessee,2/22/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tennessee,2/23/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tennessee,2/24/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tennessee,2/25/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tennessee,2/26/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tennessee,2/27/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tennessee,2/28/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tennessee,2/29/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tennessee,3/1/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tennessee,3/2/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tennessee,3/3/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tennessee,3/4/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tennessee,3/5/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tennessee,3/6/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tennessee,3/7/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tennessee,3/8/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tennessee,3/9/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tennessee,3/10/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tennessee,3/11/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tennessee,3/12/20,2.182308405,0,12.25,0.537954401,0,3,0.425739286,0,2.4,0,0,0,2.182308405,0,12.25,0.537954401,0,3,0,0,0,0,0,0,0,0,0
Tennessee,3/13/20,4.37339632,0,16.34583333,1.046246861,0,4.252083333,0.832162229,0,3.430357143,0,0,0,2.191087915,0,12.25,0.50829246,0,2.75,0,0,0,0,0,0,0,0,0
Tennessee,3/14/20,10.59553763,4.992857143,22.34375,2.487389899,0.5,5.6,1.973042063,0.5,4.5,0,0,0,6.222141306,2.495833333,9.666666667,1.441143038,0.24375,3,0,0,0,0,0,0,0,0,0
Tennessee,3/15/20,16.78584791,10.24375,27.01071429,3.938309524,1.996428571,7,3.131506926,1,5.666666667,0,0,0,6.190310281,2.333333333,9.857142857,1.450919625,0.332142857,3,0,0,0,0,0,0,0,0,0
Tennessee,3/16/20,18.87221075,11.325,31.675,4.420237518,2,8.004166667,3.510953932,1.333333333,6.5,0,0,0,2.086362843,0,11,0.481927994,0,2.75,0,0,0,0,0,0,0,0,0
Tennessee,3/17/20,18.87221075,11.325,31.675,4.420237518,2,8.004166667,3.510953932,1.333333333,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tennessee,3/18/20,31.91614776,19.99583333,52,7.531622006,3.665,12.60444444,5.9803364,2.5,10.1675,0,0,0,13.04393701,4.24375,30.675,3.111384488,0.5,7.504166667,0,0,0,0,0,0,0,0,0
Tennessee,3/19/20,34.1785579,21,55.5125,8.069156818,3.75,14.00833333,6.408236219,2.6625,11,0,0,0,2.262410137,0,12.4,0.537534812,0,3.333333333,0,0,0,0,0,0,0,0,0
Tennessee,3/20/20,54.33039033,39.98333333,75.4025,12.40537706,7.5,18,9.887871789,6,14.5,0,0,0,20.66020866,11.83333333,32.25625,4.844596465,2.333333333,8.3375,0,0,0,0,0,0,0,0,0
Tennessee,3/21/20,73.41534235,52,102.35,16.49120776,10.5,23.8375,13.14228517,8,19.5,1,1,1,19.56239087,5.5,41.025,4.563269553,1,10,1,1,1,0,0,0,0,0,0
Tennessee,3/22/20,97.06187251,68.5975,132.50625,21.14533095,13.6625,30.5,16.87056028,10.5,24.5025,1,1,1,25.89114563,8,50.5125,6.124844408,1.5,13.00416667,2,2,2,0,0,0,0,0,0
Tennessee,3/23/20,152.7588466,119.4958333,192.7214286,33.43028539,24,44.01071429,26.64699978,19.195,35.5,0,0,0,57.93936616,37.49583333,87.0375,13.76672767,8.1625,21.5,2,2,2,0,0,0,0,0,0
Tennessee,3/24/20,234.6264992,195.3125,282.1208333,52.30968431,41.665,64,41.75591659,32.865625,52,0,0,0,82.31829131,57,114.01875,19.33003763,12.25,28,2,2,2,0,0,0,0,0,0
Tennessee,3/25/20,326.9703095,284,381.34,74.03175631,61,89,59.11411696,48.5,71.4025,1,1,1,92.34381028,65.74375,130.5125,21.72207201,14.5,32.14553571,3,3,3,0,0,0,0,0,0
Tennessee,3/26/20,446.7772933,389.5,516.8875,100.0900255,83.71309524,120,79.92068326,67,96,0,0,0,123.6184116,90,169.6875,29.11177377,19.996875,40.675,3,3,3,0,0,0,0,0,0
Tennessee,3/27/20,605.8870539,537.9875,690.525,137.5570366,118.4958333,161.5,110.007351,93.98125,128.35,3,3,3,161.165093,121.9916667,209.0035714,37.97453835,27.85238095,50.675,6,6,6,0,0,0,0,0,0
Tennessee,3/28/20,804.6504606,717.4958333,909.025,181.5119751,158.9886364,212.0125,145.1179259,126,168.3416667,1,1,1,207.5584826,160.65,269,48.85464975,36.99,64.5,7,7,7,0,0,0,0,0,0
Tennessee,3/29/20,1057.381475,935.5683333,1195.2575,238.8904889,207.23375,273,190.9534303,165.59125,220,1,1,1,262.018333,207.9972222,334.025,61.78501742,47.5,81,8,8,8,0,0,0,0,0,0
Tennessee,3/30/20,1373.954439,1216.665,1561.789583,310.230786,271.9875,359.0208333,248.0168693,217.96875,287.5,6,6,6,327.2896305,267.38375,404.0125,77.22490649,62.28571429,97.5,14,14,14,0,0,0,0,0,0
Tennessee,3/31/20,1755.092561,1537.394167,1997.5375,391.0008418,340.2354167,452.55,312.7188249,270.9972222,363.50625,9,9,9,400.9047358,323.9607143,487.05,94.43231025,74.621875,118.67,23,23,23,0,0,0,0,0,0
Tennessee,4/1/20,2213.983315,1923.443056,2528.025,486.2133312,417.7871429,563.5208333,388.9227506,332.3691964,450.5,9.165,9,10,485.0190146,398.3321429,593.0166667,114.4574492,92.84285714,143.5125,32.165,32,33,0,0,0,0,0,0
Tennessee,4/2/20,2749.055695,2381.254911,3151.575,599.6923501,514.8866667,692.5125,479.6519716,411.2216667,555.5,12.324,11,13,572.5509267,471.36875,708.5,135.010493,110,168.675,44.489,43,46,0,0,0,0,0,63.5125
Tennessee,4/3/20,3379.009235,2898.32619,3872.80625,728.7393887,620.6991071,845.0125,582.958039,495.971875,677.2075,16.279,15,18,669.8150841,547.775,822.0375,157.8905321,126.7722222,195.5,60.768,58,64,0,0,0,99.73938871,0,216.0125
Tennessee,4/4/20,4080.183209,3475.641667,4723.075,871.6581395,736.8468254,1019,697.1047758,587.6638889,818.5125,21.181,19,23,764.9544966,621.5121528,944.5958333,180.5595551,146.1147321,229.0125,81.949,77,87,0,0,0,242.6581395,107.8468254,390
Tennessee,4/5/20,4869.632867,4127.905833,5659.0125,1027.760752,859.7583333,1205.1125,822.0217079,687.5138889,969.0375,27.125,24,30,867.8612056,697.94,1075.5,204.5538693,164.2735714,255.0083333,109.074,101,117,0,0,0,398.7607518,230.7583333,576.1125
Tennessee,4/6/20,5733.008939,4809.391667,6689.7875,1193.841938,988.6222222,1416.5125,954.9783934,792.4166667,1131.554167,34.221,30,39,963.682398,764.1520833,1179.5875,227.4208592,178.4277778,284.05,143.295,130,156,0,0,0,564.8419377,359.6222222,787.5125
Tennessee,4/7/20,6650.586085,5547.383482,7768.6875,1367.087759,1123.763889,1622.26875,1093.704437,895.2629464,1302.05,42.487,36,48,1059.692615,843.9777778,1316.5375,249.9481916,198.7683333,312.0083333,185.782,167,204,0,0,0,738.0877585,494.7638889,993.26875
Tennessee,4/8/20,7616.297615,6311.659375,8978.15,1543.972782,1260.677083,1834.65,1235.091277,1003.484722,1469.65,51.872,44,59,1147.788296,902.1916667,1415.0875,270.6893025,210.2786111,336.725,237.654,211,263.025,0,0,1166.15,914.9727819,631.6770833,1205.65
Tennessee,4/9/20,8625.603459,7096.390625,10231.075,1719.010624,1392.066319,2065.0125,1375.000238,1113.777083,1657.0625,62.269,53,72,1225.743934,961.2888889,1550.5375,288.827258,224.6065972,366.5125,299.923,263.975,335,813.6034593,0,2419.075,1090.010624,763.0663194,1436.0125
Tennessee,4/10/20,9650.467791,7904.757292,11516.55625,1889.331104,1516.094444,2282.5375,1511.550518,1211.075,1828.025,73.464,62,85,1291.085734,1004.097222,1626.1,304.658146,235.5555556,392.0083333,373.387,325,420,1838.467791,92.75729167,3704.55625,1260.331104,887.0944444,1653.5375
Tennessee,4/11/20,10667.65497,8616.522569,12807.325,2048.240813,1625.3,2505.5125,1638.576936,1299.213889,2004.5,85.171,71,100,1340.262895,1015.758333,1716.8,316.1928054,239.8941667,408.525,458.558,395.975,520.025,2855.65497,804.5225694,4995.325,1419.240813,996.3,1876.5125
