"","V1","location_name","date","allbed_mean","allbed_lower","allbed_upper","ICUbed_mean","ICUbed_lower","ICUbed_upper","InvVen_mean","InvVen_lower","InvVen_upper","deaths_mean","deaths_lower","deaths_upper","admis_mean","admis_lower","admis_upper","newICU_mean","newICU_lower","newICU_upper","totdea_mean","totdea_lower","totdea_upper","bedover_mean","bedover_lower","bedover_upper","icuover_mean","icuover_lower","icuover_upper","deaths_mean_smoothed","deaths_lower_smoothed","deaths_upper_smoothed","totdea_mean_smoothed","totdea_lower_smoothed","totdea_upper_smoothed","mobility_data_type","mobility_composite","total_tests_data_type","total_tests","confirmed_infections","est_infections_mean","est_infections_lower","est_infections_upper"
"1",43996,"Tennessee","2019-12-13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA
"2",43997,"Tennessee","2019-12-14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA
"3",43998,"Tennessee","2019-12-15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA
"4",43999,"Tennessee","2019-12-16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA
"5",44000,"Tennessee","2019-12-17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA
"6",44001,"Tennessee","2019-12-18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA
"7",44002,"Tennessee","2019-12-19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA
"8",44003,"Tennessee","2019-12-20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA
"9",44004,"Tennessee","2019-12-21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA
"10",44005,"Tennessee","2019-12-22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA
"11",44006,"Tennessee","2019-12-23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA
"12",44007,"Tennessee","2019-12-24",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA
"13",44008,"Tennessee","2019-12-25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA
"14",44009,"Tennessee","2019-12-26",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA
"15",44010,"Tennessee","2019-12-27",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA
"16",44011,"Tennessee","2019-12-28",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA
"17",44012,"Tennessee","2019-12-29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA
"18",44013,"Tennessee","2019-12-30",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA
"19",44014,"Tennessee","2019-12-31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA
"20",44015,"Tennessee","2020-01-01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA
"21",44016,"Tennessee","2020-01-02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,0,0,0
"22",44017,"Tennessee","2020-01-03",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,0,0,0
"23",44018,"Tennessee","2020-01-04",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,0,0,0
