OBJECTID_1,STATE_NAME,FIPS,localeventdate,county_name,grade,n_grade,daily_distance_diff,county_population,Shape__Area,Shape__Length
"3100",Virginia,"51620",2020-03-22,Franklin city,C,"3",-0.202049274399911,"8013",0.000841919244749079,0.11671958857317
"3099",Virginia,"51595",2020-03-22,Emporia city,F,"1",-0.00697939155661856,"5121",0.000905751285927181,0.117237902322041
"2157",Virginia,"51610",2020-03-22,Falls Church city,A,"5",-0.660287970624309,"14772",0.0009480463768341,0.129767928275278
"2160",Virginia,"51685",2020-03-22,Manassas Park city,B,"4",-0.336086602334064,"17307",0.000464853435005352,0.135400699443562
"3120",Virginia,"51830",2020-03-22,Williamsburg city,B,"4",-0.305956672280665,"14896",0.00125801897388556,0.138523809564881
"3104",Virginia,"51678",2020-03-22,Lexington city,F,"1",-0.00429208919124946,"7136",0.00133810531542622,0.142744122139036
"3093",Virginia,"51530",2020-03-22,Buena Vista city,C,"3",-0.274985490855579,"6237",0.00129241787180945,0.148073221400585
"2682",Virginia,"51720",2020-03-22,Norton city,B,"4",-0.331445763641355,"3968",0.00130188284379074,0.161552541837856
"2680",Virginia,"51520",2020-03-22,Bristol city,C,"3",-0.260580208031652,"16482",0.00131949134379283,0.164998252687078
"3112",Virginia,"51750",2020-03-22,Radford city,D,"2",-0.148004800455981,"18339",0.00173869292166273,0.171954714060285
"3101",Virginia,"51630",2020-03-22,Fredericksburg city,B,"4",-0.324964518907883,"29144",0.00195419479632619,0.177677899840419
"3097",Virginia,"51580",2020-03-22,Covington city,B,"4",-0.310423889367644,"5460",0.00228496649424415,0.183499677038173
"3106",Virginia,"51690",2020-03-22,Martinsville city,C,"3",-0.274196038078135,"12902",0.00235609555943483,0.193528746217844
"3119",Virginia,"51820",2020-03-22,Waynesboro city,C,"3",-0.239255862474547,"22628",0.00252247717980936,0.196085141108284
"3103",Virginia,"51670",2020-03-22,Hopewell city,B,"4",-0.300308266405116,"22596",0.00231920071541936,0.200499536315533
"3096",Virginia,"51570",2020-03-22,Colonial Heights city,C,"3",-0.235328352911109,"17833",0.00183864882774287,0.208442146430389
"2161",Virginia,"51840",2020-03-22,Winchester city,B,"4",-0.308410163313443,"28108",0.00305825380610258,0.213256189018425
"2681",Virginia,"51640",2020-03-22,Galax city,F,"1",-0.0318699588136835,"6423",0.0022654629212866,0.220590370776683
"3094",Virginia,"51540",2020-03-22,Charlottesville city,B,"4",-0.386169268311741,"48117",0.00334434469641565,0.226967897367065
"3116",Virginia,"51790",2020-03-22,Staunton city,C,"3",-0.207463123998447,"24922",0.00333329238105762,0.229092375381082
"2158",Virginia,"51660",2020-03-22,Harrisonburg city,F,"1",0.0637860749647298,"54033",0.00298541284769271,0.231743842069614
"2156",Virginia,"51600",2020-03-22,Fairfax city,B,"4",-0.308401303358301,"24574",0.00281110271794205,0.236381153428592
"3115",Virginia,"51775",2020-03-22,Salem city,D,"2",-0.168961501853279,"25643",0.00269035559063013,0.241247479621257
"2159",Virginia,"51683",2020-03-22,Manassas city,C,"3",-0.29714183233374,"41641",0.00282130198843333,0.274278460806653
"2155",Virginia,"51510",2020-03-22,Alexandria city,A,"5",-0.510766194455632,"160530",0.00463801412433895,0.301462676200616
"1283",Hawaii,"15005",2020-03-22,Kalawao ,A,"5",-0.976594763070114,"88",0.00300475271546929,0.3262996864407
"2243",Rhode Island,"44001",2020-03-22,Bristol ,B,"4",-0.348077549130423,"48649",0.0065024955492845,0.336429813232353
"3110",Virginia,"51735",2020-03-22,Poquoson city,B,"4",-0.380607566558535,"12190",0.00523741840834191,0.346678763529378
"3109",Virginia,"51730",2020-03-22,Petersburg city,C,"3",-0.235186646431882,"31567",0.00730172559542552,0.355665906632425
"3114",Virginia,"51770",2020-03-22,Roanoke city,B,"4",-0.318387176316042,"99920",0.00832121455482593,0.362196922688359
"2139",Virginia,"51013",2020-03-22,Arlington ,A,"5",-0.537581816569996,"237521",0.00695816681468386,0.366154049224166
"2232",New York,"36061",2020-03-22,New York ,A,"5",-0.671949463627448,"1628701",0.00629934166909152,0.440596715710957
"1262",California,"06075",2020-03-22,San Francisco ,A,"5",-0.613272203874404,"883305",0.0125094233731033,0.44502331378207
"2226",New York,"36005",2020-03-22,Bronx ,A,"5",-0.459404157374381,"1432132",0.011061980297427,0.471169785617355
"3102",Virginia,"51650",2020-03-22,Hampton city,B,"4",-0.350943629453551,"134313",0.013326859253084,0.475302673738266
"3108",Virginia,"51710",2020-03-22,Norfolk city,B,"4",-0.330854391211277,"244076",0.0126497806957104,0.488076330019663
"2058",New York,"36085",2020-03-22,Richmond ,A,"5",-0.49916248886282,"476179",0.0132727396162409,0.497708759732111
"3105",Virginia,"51680",2020-03-22,Lynchburg city,C,"3",-0.232680093105173,"82126",0.0139813903654158,0.50402683228225
"3111",Virginia,"51740",2020-03-22,Portsmouth city,B,"4",-0.313047223125181,"94632",0.00919267386530009,0.551005369855483
"3098",Virginia,"51590",2020-03-22,Danville city,B,"4",-0.313387144194496,"40693",0.0108403365757113,0.566756736644335
"2230",New York,"36047",2020-03-22,Kings ,A,"5",-0.548641264547681,"2582830",0.0164868038843906,0.587118887130806
"3069",Virginia,"51115",2020-03-22,Mathews ,A,"5",-0.471552366341306,"8802",0.0169842209754734,0.587473913270355
"860",Colorado,"08014",2020-03-22,Broomfield ,A,"5",-0.488855144572133,"69267",0.0115933415804648,0.602157986058425
"2224",New Jersey,"34017",2020-03-22,Hudson ,A,"5",-0.472194159610426,"676061",0.01562157994681,0.622384098415913
"3126",District of Columbia,"11001",2020-03-22,District of Columbia,A,"5",-0.562130770278058,"702455",0.0177698293377944,0.63246229787323
"1330",Washington,"53055",2020-03-22,San Juan ,A,"5",-0.516924810775815,"17128",0.0176359527131353,0.677732213120994
"2928",West Virginia,"54069",2020-03-22,Ohio ,C,"3",-0.284132720360358,"41755",0.0282504249641988,0.683820238292846
"2167",West Virginia,"54029",2020-03-22,Hancock ,C,"3",-0.209280514328304,"29094",0.0237908791443715,0.718037402982802
"2007",Maryland,"24510",2020-03-22,Baltimore city,B,"4",-0.3518736672834,"602495",0.0231052708804782,0.724948681569978
"1922",Missouri,"29510",2020-03-22,St. Louis city,B,"4",-0.349701826962712,"302838",0.0192910009975549,0.731397984950015
"2164",West Virginia,"54009",2020-03-22,Brooke ,A,"5",-0.412701002018487,"22203",0.0241497473798518,0.742501336365117
