FID,OBJECTID,ID,NAME,TELEPHONE,ADDRESS,ADDRESS2,CITY,STATE,ZIP,ZIPP4,COUNTY,FIPS,DIRECTIONS,EMERGTITLE,EMERGTEL,EMERGEXT,CONTDATE,CONTHOW,GEODATE,GEOHOW,HSIPTHEMES,NAICSCODE,NAICSDESCR,GEOLINKID,X,Y,ST_VENDOR,ST_VERSION,GEOPREC,PHONELOC,QC_QA,UCAOA_ID
0,1000,10422146,GERMANTOWN MINOR MEDICAL,901-754-8880,2018 SOUTH GERMANTOWN ROAD, ,GERMANTOWN,TN,38138,2844,SHELBY,47157,"LOC ON THE SOUTHEAST SIDE OF S GERMANSTOWN RD, APPR .1 MILES NORTHEAST OF W POPLAR AVE.", , , ,2009-02-09T00:00:00.000Z,PHONE,2009-02-09T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",24932292,-89.8071784,35.0940524,NAVTEQ,2008Q1,ONENTITY,YES,TGS,UC_3332
1,1045,11513132,WICKMAN FAMILY MEDICAL CARE,901-377-3001,8485 UNITED STATES HIGHWAY 64, ,MEMPHIS,TN,38133, ,SHELBY,47157,"LOC ON THE SOUTH SIDE OF US-64, APPR .1 MILES WEST OF NEW BRUNSWICK RD.", , , ,2009-02-11T00:00:00.000Z,PHONE,2009-02-11T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",27836158,-89.7792558,35.203563,NAVTEQ,2008Q1,ONENTITY,YES,TGS, 
2,1059,10468047,BAPTIST MEMORIAL HEALTH CARE MINOR MEDICAL CENTER - MEMPHIS,901-327-8188,3295 POPLAR AVENUE,SUITE 105,MEMPHIS,TN,38111,4690,SHELBY,47157,"LOC ON THE SOUTH SIDE OF POPLAR AVE, BETWEEN S HOLMES ST & PALISADE ST.", , , ,2009-02-09T00:00:00.000Z,PHONE,2009-02-09T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",24943924,-89.9524379,35.1291921,NAVTEQ,2008Q1,ONENTITY,YES,TGS, 
3,1252,10470877,UNION CITY URGENT CARE,731-885-8282,1229 SOUTH 1ST STREET, ,UNION CITY,TN,38261,5014,OBION,47131,ON THE W SIDE OF S 1ST ST BETWEEN E REELFOOT AVE AND E WADE ST., , , ,2008-03-17T00:00:00.000Z,PHONE,2008-03-17T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",91110021,-89.0583289,36.4156973,NAVTEQ,2008Q1,BLOCKFACE,YES,TGS, 
4,1293,11513126,LE BONHEUR URGENT CARE CENTER - CORDOVA,901-758-6000,8035 CLUB PARKWAY, ,CORDOVA,TN,38016,5977,SHELBY,47157,LOC ON THE NORTHEAST CORNER OF THE INTERSECTION OF COUNTRY VILLAGE DR & N GERMANTOWN PKY., , , ,2009-02-11T00:00:00.000Z,PHONE,2009-02-11T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",24923264,-89.7941923,35.1614831,NAVTEQ,2008Q1,ONENTITY,YES,TGS, 
5,1409,10470882,LE BONHEUR URGENT CARE CENTER - EAST MEMPHIS,901-287-4000,806 ESTATE PLACE, ,MEMPHIS,TN,38120,0600,SHELBY,47157,ON THE NE CORNER OF THE INTERSECTION OF ESTATE PL AND POPLAR AVE AND, , , ,2008-03-17T00:00:00.000Z,PHONE,2008-03-17T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",24925886,-89.8839,35.1082244,NAVTEQ,2008Q1,BLOCKFACE,YES,TGS, 
6,1437,10844079,CONCENTRA URGENT CARE - MEMPHIS SOUTHEAST,901-365-1800,3965 SOUTH MENDENHALL ROAD,BUILDING G SUITE 6,MEMPHIS,TN,38115,5914,SHELBY,47157,LOC ON THE SOUTHWEST CORNER OF THE INTERSECTION OF SHARP PLAZA BLVD & S MENDENHALL RD., , , ,2009-02-09T00:00:00.000Z,PHONE,2009-02-09T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",24929714,-89.8859953,35.0401833,NAVTEQ,2008Q1,ONENTITY,YES,TGS, 
7,1446,11513130,METHODIST MINOR MEDICAL CENTER - HACKS CROSS,901-756-6056,8071 WINCHESTER ROAD, ,MEMPHIS,TN,38125,8206,SHELBY,47157,"LOC ON THE SOUTH SIDE OF WINCHESTER RD, LESS THAN .1 MILES EAST OF HACKS CROSS RD.", , , ,2009-02-11T00:00:00.000Z,PHONE,2009-02-11T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",126842715,-89.794055,35.0475346,NAVTEQ,2008Q1,ONENTITY,YES,TGS, 
8,1474,10422154,ROSSVILLE HEALTH CENTER,901-261-7303,4940 STATE HIGHWAY 57, ,ROSSVILLE,TN,38066, ,FAYETTE,47047,LOCATED AT THE SE CORNER OF ST HWY 57 AND KNOX ROAD., , , ,2008-01-25T00:00:00.000Z,PHONE,2008-01-25T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",99868227,-89.5571237,35.0421698,NAVTEQ,2008Q1,BLOCKFACE,YES,TGS,UC_3368
9,1571,10194184,URGENT CARE CLINIC,731-285-2212,1950 COOK STREET,SUITE A,DYERSBURG,TN,38024,1899,DYER,47045,"LOCATED ON THE NORTHWEST SIDE OF US-51-BYP, BETWEEN COOK ST AND FLOWERING DOGWOOD LN.", , , ,2009-04-29T00:00:00.000Z,PHONE,2009-04-29T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",98847169,-89.4045498,36.0525284,NAVTEQ,2008Q1,ONENTITY,YES,TGS,UC_3331
