OBJECTID,localeventdate,weekday,covid,state_fips,state_name,state_code,county_fips,county_name,county_population,daily_distance_diff,daily_visitation_diff,grade_total,grade_distance,grade_visitation,n_grade_total,n_grade_distance,n_grade_visitation,last_updated,Shape__Area,Shape__Length,SHAPE
1,2020-04-02 00:00:00,5.0,POST,1.0,Alabama,AL,01001,Autauga County,55601.0,-0.259358736453552,-0.432879021612939,D-,D,F,1.5,2.0,1.0,2020-04-06 15:32:29,0.148903424666059,1.88413711305523,"{'rings': [[[-86.820669892, 32.3473096160001], [-86.8144596239999, 32.3704109020001], [-86.845710877, 32.4103461180001], [-86.831420888, 32.4314370970001], [-86.863923209, 32.450880189], [-86.86461759, 32.4627474070001], [-86.8819141819999, 32.4822934850001], [-86.8818380819999, 32.500973711], [-86.906710807, 32.5389137980001], [-86.90197312, 32.583918506], [-86.9123803959999, 32.6657151150001], [-86.7113401089999, 32.664601121], [-86.711370984, 32.710162826], [-86.41370948, 32.7088541000001], [-86.406031707, 32.4160534210001], [-86.4259829969999, 32.4056547960001], [-86.454014318, 32.4114300140001], [-86.463772282, 32.383426978], [-86.4858141239999, 32.374897495], [-86.498135715, 32.350609896], [-86.535772593, 32.3456736970001], [-86.5377030189999, 32.3666959830001], [-86.569747599, 32.381202875], [-86.585472093, 32.3670239030001], [-86.612259703, 32.3768274030001], [-86.617097216, 32.4084047100001], [-86.6473714969999, 32.412360311], [-86.658083225, 32.3861921220001], [-86.6920577129999, 32.3619692790001], [-86.722263405, 32.367729318], [-86.7252241099999, 32.407458406], [-86.7506610839999, 32.394404824], [-86.781355081, 32.4019843770001], [-86.790968098, 32.374862475], [-86.7742133249999, 32.3566858880001], [-86.778676398, 32.337189386], [-86.7992304799999, 32.3230943880001], [-86.816595401, 32.3230524780001], [-86.820669892, 32.3473096160001]]], 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
2,2020-04-02 00:00:00,5.0,POST,1.0,Alabama,AL,01009,Blount County,57840.0,-0.236619968139574,-0.310748971193416,F,F,F,1.0,1.0,1.0,2020-04-06 15:32:29,0.167529636421932,2.0674563857459,"{'rings': [[[-86.9679945189999, 33.860454686], [-86.9266653079999, 33.872275798], [-86.9191046129999, 33.883479406], [-86.926230983, 33.902281993], [-86.914672518, 33.9170331930001], [-86.889121108, 33.9196420960001], [-86.879256324, 33.9330619840001], [-86.853185993, 33.934286114], [-86.841100991, 33.9476525920001], [-86.826886999, 33.942323303], [-86.8214702129999, 33.9549306970001], [-86.778027397, 33.961647816], [-86.760418893, 33.989883815], [-86.7379802839999, 33.997535789], [-86.716533516, 34.0393137790001], [-86.698672519, 34.0425217960001], [-86.69562841, 34.065638623], [-86.679613606, 34.063429802], [-86.6980319099999, 34.0911625250001], [-86.692294406, 34.096476325], [-86.678171796, 34.0879505190001], [-86.64709621, 34.1031020090001], [-86.6482331019999, 34.117681686], [-86.6356212009999, 34.113279483], [-86.626114693, 34.130323322], [-86.609764199, 34.1221865140001], [-86.598968289, 34.128740087], [-86.589171886, 34.153047009], [-86.546026218, 34.192421602], [-86.555433676, 34.208119003], [-86.520985803, 34.236793575], [-86.522687307, 34.2504767830001], [-86.512303187, 34.2602116940001], [-86.448679124, 34.2658340900001], [-86.302890383, 34.1050384960001], [-86.332760488, 34.053105879], [-86.338902116, 33.9700416760001], [-86.371060821, 33.928160597], [-86.339420519, 33.9163808760001], [-86.347546086, 33.9070540770001], [-86.347599289, 33.8783983100001], [-86.42562731, 33.822273296], [-86.510110219, 33.8113023920001], [-86.5327242879999, 33.7982373090001], [-86.584796517, 33.795468176], [-86.584880025, 33.7636271860001], [-86.6572392859999, 33.764524017], [-86.659085892, 33.7745757110001], [-86.763933279, 33.8421569810001], [-86.880627784, 33.842589493], [-86.937436974, 33.81384281], [-86.955641225, 33.8151553170001], [-86.956961709, 33.8424722090001], [-86.968543487, 33.8436396130001], [-86.9679945189999, 33.860454686]]], 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
3,2020-04-02 00:00:00,5.0,POST,1.0,Alabama,AL,01011,Bullock County,10138.0,-0.111459589222996,,F,F,,1.0,1.0,,2020-04-06 15:32:29,0.155727340787735,2.00625025029157,"{'rings': [[[-85.411395704, 32.1555123090001], [-85.411364984, 32.145472479], [-85.427043891, 32.1460407180001], [-85.426225905, 32.0237270810001], [-85.453852688, 32.0228990970001], [-85.4571946189999, 32.031687807], [-85.470782922, 32.030348777], [-85.4706836139999, 32.0216745010001], [-85.5105636069999, 32.0244664800001], [-85.511608598, 32.0035093110001], [-85.581213023, 32.006411477], [-85.663419921, 31.8814624130001], [-85.7933588019999, 31.884911319], [-85.789209609, 31.9746741980001], [-85.8794751949999, 31.9744216020001], [-85.878170821, 31.9912610750001], [-85.895093284, 31.9995614810001], [-85.8964597189999, 32.0534422920001], [-85.91103981, 32.0539074920001], [-85.912275907, 32.0626162180001], [-85.963851905, 32.070633877], [-85.9632565209999, 32.0473459930001], [-85.981124977, 32.0469949170001], [-85.982826481, 32.057538386], [-85.99803221, 32.056187906], [-86.000559988, 32.2583293920001], [-85.987963577, 32.2611294010001], [-85.988284399, 32.2784704920001], [-85.931909482, 32.2776163990001], [-85.902138996, 32.276216705], [-85.899537811, 32.3098804210001], [-85.868958198, 32.290204988], [-85.8762820969999, 32.260340684], [-85.851768115, 32.239028917], [-85.433110714, 32.2397832870001], [-85.429592391, 32.1598188830001], [-85.411044783, 32.162340392], [-85.411395704, 32.1555123090001]]], 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
4,2020-04-02 00:00:00,5.0,POST,1.0,Alabama,AL,01013,Butler County,19680.0,-0.121012683233979,-0.531531531531532,F,F,F,1.0,1.0,1.0,2020-04-06 15:32:29,0.192730532944552,1.76946212262841,"{'rings': [[[-86.4491204939999, 31.971231975], [-86.452453514, 31.8549785820001], [-86.443290312, 31.854730596], [-86.442557596, 31.8314368060001], [-86.451270724, 31.8293941210001], [-86.4492917059999, 31.668235795], [-86.502157677, 31.6650982830001], [-86.501795515, 31.5299653230001], [-86.7027816149999, 31.528782118], [-86.841281424, 31.532159897], [-86.8684433179999, 31.556085023], [-86.888594106, 31.5976390110001], [-86.9075692, 31.6094908950001], [-86.915240705, 31.756162999], [-86.912517781, 31.8409666260001], [-86.912328074, 31.964133475], [-86.8598369059999, 31.9670193740001], [-86.4491204939999, 31.971231975]]], 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
5,2020-04-02 00:00:00,5.0,POST,1.0,Alabama,AL,01015,Calhoun County,114277.0,-0.244452534062616,-0.527768730005042,F,F,F,1.0,1.0,1.0,2020-04-06 15:32:29,0.152336893293068,2.14982534743479,"{'rings': [[[-85.7935270089999, 33.563426694], [-85.793145887, 33.594820822], [-85.9938348909999, 33.5965546], [-85.9945673999999, 33.604771187], [-86.018318413, 33.6041226], [-86.015449712, 33.619056824], [-86.025925318, 33.6316601770001], [-86.025810986, 33.646674386], [-86.0439085199999, 33.6617801850001], [-86.048127804, 33.6787436770001], [-86.146412603, 33.6784615], [-86.142430116, 33.7197507180001], [-86.117565213, 33.7199336900001], [-86.1035343999999, 33.737721177], [-86.078898419, 33.7451862950001], [-86.041826309, 33.7713775880001], [-86.064516996, 33.8084562780001], [-86.050829592, 33.8303409980001], [-86.052592121, 33.853141199], [-86.0181521219999, 33.8562005900001], [-86.0182131989999, 33.8671258030001], [-85.993241476, 33.8686440760001], [-85.994660699, 33.8864280920001], [-85.9846278109999, 33.887942583], [-85.983475896, 33.9011031920001], [-85.9696358259999, 33.9011376930001], [-85.967743787, 33.9183648160001], [-85.9512409879999, 33.916041922], [-85.9529959019999, 33.9261010750001], [-85.929275506, 33.9240071040001], [-85.9284285099999, 33.9062422040001], [-85.897849207, 33.9089319220001], [-85.895591017, 33.945709112], [-85.8784474029999, 33.9451753230001], [-85.8800420859999, 33.958419803], [-85.846487211, 33.9532703260001], [-85.842718208, 33.9627039970001], [-85.8210120049999, 33.9529157790001], [-85.736628819, 33.9447417750001], [-85.734828318, 33.9706204830001], [-85.62546538, 33.962914891], [-85.623680006, 33.9542060100001], [-85.5201841859999, 33.951604515], [-85.520672491, 33.9420679090001], [-85.527638011, 33.892256305], [-85.599196122, 33.889685011], [-85.601080597, 33.874281495], [-85.6336819159999, 33.8753761140001], [-85.632132923, 33.8507525140001], [-85.585172717, 33.8491696940001], [-85.586095606, 33.808700119], [-85.602728225, 33.8079027000001], [-85.602880684, 33.7937998790001], [-85.6189791, 33.792518091], [-85.6212450089999, 33.780311195], [-85.6367484039999, 33.7799182090001], [-85.638814815, 33.648462921], [-85.653784007, 33.6471467870001], [-85.655088588, 33.6317129130001], [-85.690924809, 33.6324487900001], [-85.690466913, 33.619235082], [-85.721931392, 33.6189066960001], [-85.721488778, 33.605239081], [-85.742973778, 33.6059408180001], [-85.744529713, 33.561836413], [-85.7935270089999, 33.563426694]]], 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
6,2020-04-02 00:00:00,5.0,POST,1.0,Alabama,AL,01017,Chambers County,33615.0,-0.242396323731016,-0.46751434330904,F,F,F,1.0,1.0,1.0,2020-04-06 15:32:29,0.153113605742647,1.637226443176,"{'rings': [[[-85.589628589, 32.7313466890001], [-85.594780812, 33.114251999], [-85.233502911, 33.1201394240001], [-85.180719724, 32.871812979], [-85.162301316, 32.8074457870001], [-85.128089824, 32.7770703850001], [-85.133300689, 32.7563152000001], [-85.124885123, 32.7443831750001], [-85.272465299, 32.744157413], [-85.2734418059999, 32.7359866210001], [-85.400681178, 32.734265588], [-85.409852099, 32.746899505], [-85.4279037859999, 32.746182278], [-85.429101599, 32.7334606050001], [-85.480731318, 32.737580114], [-85.589628589, 32.7313466890001]]], 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
7,2020-04-02 00:00:00,5.0,POST,1.0,Alabama,AL,01023,Choctaw County,12841.0,-0.210961966019154,-0.441812564366632,F,F,F,1.0,1.0,1.0,2020-04-06 15:32:29,0.230839535829318,2.57566509333005,"{'rings': [[[-88.46509681, 31.702244992], [-88.472951909, 31.8888768140001], [-88.437724281, 32.2277555810001], [-88.425791998, 32.309224323], [-87.933738322, 32.317154692], [-87.926299418, 32.3093042040001], [-87.931578975, 32.2888655940001], [-87.941795094, 32.2935652050001], [-87.9387280879999, 32.3117531890001], [-87.970177387, 32.3121841980001], [-87.996400281, 32.3020526230001], [-88.000977997, 32.2893499100001], [-88.0168095189999, 32.2836355100001], [-88.0181598949999, 32.2690674890001], [-88.007028087, 32.2557012180001], [-88.008148091, 32.166375305], [-88.039513002, 32.1389787910001], [-88.049202222, 32.1117502770001], [-88.04469268, 32.092086189], [-88.064460791, 32.0754696810001], [-88.087677807, 32.077586497], [-88.1172346019999, 32.0569798860001], [-88.1156927069999, 32.0209397130001], [-88.10197422, 32.001618982], [-88.0955500009999, 31.998348075], [-88.0887447119999, 32.016957588], [-88.069654923, 31.9961988800001], [-88.0617198909999, 31.9869791080001], [-88.066373603, 31.9683409990001], [-88.0922914229999, 31.968666795], [-88.120154278, 31.949858717], [-88.096532775, 31.9422717040001], [-88.0891395099999, 31.932601807], [-88.060398888, 31.9399909790001], [-88.050937813, 31.925732125], [-88.126203695, 31.911627025], [-88.1355108079999, 31.8720600830001], [-88.153508723, 31.8604198190001], [-88.177266418, 31.8255792200001], [-88.15338429, 31.771013714], [-88.143259708, 31.764506091], [-88.110360983, 31.7668406920001], [-88.094948815, 31.7547885860001], [-88.089439507, 31.70042869], [-88.46509681, 31.702244992]]], 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
8,2020-04-02 00:00:00,5.0,POST,1.0,Alabama,AL,01025,Clarke County,23920.0,-0.123552686152304,-0.335969151169034,F,F,F,1.0,1.0,1.0,2020-04-06 15:32:29,0.307334921857546,3.37702332587743,"{'rings': [[[-87.7635669219999, 31.3110788020001], [-87.769128811, 31.3015768020001], [-87.806086797, 31.327256375], [-87.809100394, 31.3113229030001], [-87.791094501, 31.3014603980001], [-87.7839073119999, 31.286738105], [-87.8016841789999, 31.2815312810001], [-87.8203386069999, 31.285923693], [-87.82968478, 31.2741900780001], [-87.8518029809999, 31.2658455870001], [-87.834895697, 31.2550904990001], [-87.8326600939999, 31.2335935840001], [-87.8501623989999, 31.2411615840001], [-87.862552786, 31.237234475], [-87.8464313169999, 31.214162303], [-87.8513218259999, 31.210582281], [-87.871998113, 31.2200194230001], [-87.91532639, 31.1932430030001], [-87.94147308, 31.1963536800001], [-87.9295712059999, 31.230892625], [-87.937124701, 31.255658582], [-87.984588391, 31.264990821], [-87.96829172, 31.277552316], [-87.953307195, 31.2773462910001], [-87.953101222, 31.287844121], [-87.939490125, 31.2995262950001], [-87.9579919889999, 31.312568324], [-87.956260077, 31.3189368020001], [-87.924131885, 31.3180308010001], [-87.919355915, 31.3435312880001], [-87.905668304, 31.331009889], [-87.88622832, 31.3654268860001], [-87.902464379, 31.41177021], [-87.92226321, 31.4143336810001], [-87.909522006, 31.4346939120001], [-87.929168222, 31.4454722090001], [-87.910658898, 31.4589051], [-87.9013357759999, 31.4962001750001], [-87.929100514, 31.531737176], [-87.9628387239999, 31.5367709230001], [-88.028881207, 31.5677799920001], [-88.033535489, 31.577879189], [-88.011440082, 31.5812380080001], [-88.075018299, 31.6026014760001], [-88.0885920969999, 31.656618118], [-88.077575087, 31.6710793190001], [-88.089439507, 31.70042869], [-88.094948815, 31.7547885860001], [-88.110360983, 31.7668406920001], [-88.143259708, 31.764506091], [-88.15338429, 31.771013714], [-88.177266418, 31.8255792200001], [-88.153508723, 31.8604198190001], [-88.1355108079999, 31.8720600830001], [-88.126203695, 31.911627025], [-88.050937813, 31.925732125], [-88.060398888, 31.9399909790001], [-88.0891395099999, 31.932601807], [-88.096532775, 31.9422717040001], [-88.120154278, 31.949858717], [-88.0922914229999, 31.968666795], [-88.066373603, 31.9683409990001], [-88.0617198909999, 31.9869791080001], [-88.069654923, 31.9961988800001], [-87.6671176949999, 31.9990287800001], [-87.668579813, 31.887313679], [-87.629775479, 31.8857606980001], [-87.615401101, 31.8773112000001], [-87.6169640809999, 31.8335479240001], [-87.498346403, 31.833920603], [-87.498559888, 31.825110808], [-87.5153296839999, 31.822671407], [-87.5122453229999, 31.707645977], [-87.5586408139999, 31.7034407840001], [-87.567437399, 31.6734773800001], [-87.558594501, 31.6605479200001], [-87.5621639029999, 31.557014698], [-87.605705509, 31.5331144900001], [-87.611915777, 31.5204405800001], [-87.5648792119999, 31.4885966890001], [-87.5637266749999, 31.447037209], [-87.583296377, 31.436419401], [-87.5977008, 31.4170356770001], [-87.610075905, 31.415420323], [-87.636398107, 31.4368618080001], [-87.647132888, 31.4365833090001], [-87.6916512079999, 31.4131199130001], [-87.703339598, 31.3941349240001], [-87.717439, 31.3870551250001], [-87.712754205, 31.3563918990001], [-87.719369011, 31.347822475], [-87.73654319, 31.3467257840001], [-87.756410712, 31.3698667], [-87.761606398, 31.3525982900001], [-87.782770783, 31.3401419050001], [-87.7799324919999, 31.322747507], [-87.7635669219999, 31.3110788020001]]], 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
9,2020-04-02 00:00:00,5.0,POST,1.0,Alabama,AL,01029,Cleburne County,14987.0,-0.1141206755421,-0.470510369171937,F,F,F,1.0,1.0,1.0,2020-04-06 15:32:29,0.14114392266606,2.10706706515317,"{'rings': [[[-85.335286815, 33.654923092], [-85.304980105, 33.490593996], [-85.344333717, 33.507561217], [-85.351917414, 33.4996382040001], [-85.642383906, 33.4974621750001], [-85.766807522, 33.499292101], [-85.767921412, 33.4874935760001], [-85.7849888229999, 33.487592625], [-85.786796991, 33.4726279920001], [-85.8887592039999, 33.4708686230001], [-85.886569499, 33.4826328030001], [-85.8640393009999, 33.4814695950001], [-85.856493679, 33.5017135780001], [-85.792985191, 33.5515747060001], [-85.7935270089999, 33.563426694], [-85.744529713, 33.561836413], [-85.742973778, 33.6059408180001], [-85.721488778, 33.605239081], [-85.721931392, 33.6189066960001], [-85.690466913, 33.619235082], [-85.690924809, 33.6324487900001], [-85.655088588, 33.6317129130001], [-85.653784007, 33.6471467870001], [-85.638814815, 33.648462921], [-85.6367484039999, 33.7799182090001], [-85.6212450089999, 33.780311195], [-85.6189791, 33.792518091], [-85.602880684, 33.7937998790001], [-85.602728225, 33.8079027000001], [-85.586095606, 33.808700119], [-85.585172717, 33.8491696940001], [-85.632132923, 33.8507525140001], [-85.6336819159999, 33.8753761140001], [-85.601080597, 33.874281495], [-85.599196122, 33.889685011], [-85.527638011, 33.892256305], [-85.520672491, 33.9420679090001], [-85.490916924, 33.9387645210001], [-85.486186698, 33.9554344910001], [-85.395737777, 33.959829287], [-85.3840108969999, 33.9054098170001], [-85.335286815, 33.654923092]]], 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
10,2020-04-02 00:00:00,5.0,POST,1.0,Alabama,AL,01031,Coffee County,51909.0,-0.171574807877563,-0.3817966740485,F,F,F,1.0,1.0,1.0,2020-04-06 15:32:29,0.164775796557933,1.64231827799031,"{'rings': [[[-85.795535918, 31.2049986870001], [-86.187050282, 31.1990643780001], [-86.1934327989999, 31.4495745190001], [-86.193526098, 31.539080088], [-86.151143296, 31.5373618], [-86.1528908019999, 31.5470032050001], [-86.139950878, 31.5479855130001], [-86.141059019, 31.6247214900001], [-86.000383388, 31.6304574920001], [-85.7908592049999, 31.6232567820001], [-85.795535918, 31.2049986870001]]], 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
